playerId,birthDate
8478474,1997-06-23
8480950,1994-04-06
8480955,1990-02-14
8479365,1998-02-11
8479318,1997-09-17
8480839,2000-04-13
8471426,1985-08-17
8470144,1984-04-24
8471702,1986-12-06
8477205,1990-11-29
8476381,1991-07-20
8475738,1992-04-15
8476869,1994-03-26
8470622,1984-05-01
8479410,1998-06-25
8474628,1990-06-07
8475455,1990-11-13
8474230,1986-03-30
8478425,1997-07-29
8476439,1993-07-01
8473463,1987-01-23
8477942,1996-07-22
8476436,1993-03-23
8477462,1995-02-08
8476393,1993-07-20
8475728,1992-07-25
8477476,1995-07-04
8471675,1987-08-07
8478233,1996-04-04
8477501,1995-03-04
8474066,1989-02-08
8475167,1990-12-18
8468508,1981-10-04
8477244,1990-05-07
8474818,1987-07-26
8475462,1990-06-05
8477046,1993-06-17
8477406,1992-12-08
8473991,1988-09-24
8480830,2000-03-26
8476441,1993-06-28
8475166,1990-09-20
8474581,1990-07-04
8477930,1985-03-06
8478020,1996-05-13
8478109,1995-07-18
8473534,1988-06-02
8475764,1991-12-05
8475780,1991-05-27
8476472,1993-07-20
8470257,1984-03-01
8480023,1999-07-02
8476278,1993-03-28
8477933,1995-11-06
8478366,1994-03-14
8477941,1995-12-05
8476288,1992-03-09
8478866,1994-08-08
8477401,1995-02-14
8479290,1993-04-14
8475752,1991-11-01
8470601,1985-02-27
8477935,1996-06-20
8474574,1990-02-01
8479970,1993-12-01
8477433,1995-01-12
8477996,1996-01-29
8476525,1992-10-29
8478483,1997-05-05
8480036,1999-07-18
8477010,1994-07-18
8475170,1991-08-22
8477337,1993-05-17
8477943,1996-04-27
8476897,1994-03-23
8476966,1994-04-16
8473588,1986-08-06
8474027,1987-02-10
8475810,1992-05-11
8477934,1995-10-27
8478106,1995-06-01
8470775,1984-10-05
8474679,1989-09-01
8474578,1990-05-31
8478567,1993-07-08
8473673,1987-05-07
8473473,1988-06-07
8479407,1998-07-30
8471228,1986-07-05
8476994,1994-04-03
8474131,1988-09-19
8471215,1986-07-31
8476368,1992-11-24
8476432,1993-06-15
8477450,1995-07-04
8475792,1992-05-02
8478047,1995-09-17
8466139,1979-09-15
8480948,1991-09-17
8477021,1994-08-11
8476392,1993-03-29
8476850,1993-09-27
8479324,1998-02-11
8480147,1991-10-07
8475758,1992-06-14
8476427,1993-02-05
