playerId,name
8478474,Lawson Crouse
8480950,Ilya Lyubushkin
8480955,Bogdan Kiselevich
8479365,Trent Frederic
8479318,Auston Matthews
8480839,Rasmus Dahlin
8471426,Troy Brouwer
8470144,Frans Nielsen
8471702,Matt Niskanen
8477205,Andrej Sustr
8476381,Andrew Shaw
8475738,Jordan Weal
8476869,Brady Skjei
8470622,Patrick Eaves
8479410,Mikhail Sergachev
8474628,Michael Stone
8475455,Brenden Dillon
8474230,Micheal Haley
8478425,Brendan Guhle
8476439,Brett Ritchie
8473463,Leo Komarov
8477942,Kevin Fiala
8476436,Dmitrij Jaskin
8477462,Robert Hagg
8476393,Nick Cousins
8475728,Johan Larsson
8477476,Artturi Lehkonen
8471675,Sidney Crosby
8478233,Andrew Mangiapane
8477501,Valeri Nichushkin
8474066,Thomas Hickey
8475167,Victor Hedman
8468508,Justin Williams
8477244,Chad Ruhwedel
8474818,Jordie Benn
8475462,Radko Gudas
8477046,Joakim Ryan
8477406,Mattias Janmark
8473991,Karl Alzner
8480830,Andrei Svechnikov
8476441,Joel Edmundson
8475166,John Tavares
8474581,Jake Gardiner
8477930,Pierre-Edouard Bellemare
8478020,Michael Amadio
8478109,Victor Olofsson
8473534,Patrik Berglund
8475764,Cam Fowler
8475780,Chris Wagner
8476472,Oscar Klefbom
8470257,Alexander Steen
8480023,Robert Thomas
8476278,Colin Blackwell
8477933,Sam Reinhart
8478366,Frank Vatrano
8477941,Nick Ritchie
8476288,Ryan Dzingel
8478866,Dominik Simon
8477401,John Hayden
8479290,Kalle Kossila
8475752,Tyler Pitlick
8470601,Braydon Coburn
8477935,Sam Bennett
8474574,Tyler Myers
8479970,Joseph Gambardella
8477433,Ben Harpur
8477996,Juho Lammikko
8476525,Colin Miller
8478483,Mitchell Marner
8480036,Miro Heiskanen
8477010,Joseph Blandisi
8475170,Brayden Schenn
8477337,John Gilmour
8477943,Brendan Perlini
8476897,Oskar Sundqvist
8476966,Gemel Smith
8473588,Erik Condra
8474027,Justin Braun
8475810,Bryan Rust
8477934,Leon Draisaitl
8478106,Dylan Sikura
8470775,Nate Thompson
8474679,Gustav Nyquist
8474578,Erik Karlsson
8478567,Dean Kukan
8473673,David Schlemko
8473473,Milan Lucic
8479407,Jesper Bratt
8471228,Alexander Radulov
8476994,Vinnie Hinostroza
8474131,Mario Kempe
8471215,Evgeni Malkin
8476368,Fredrik Claesson
8476432,Boone Jenner
8477450,Jason Dickinson
8475792,Brett Connolly
8478047,Michael Bunting
8466139,Patrick Marleau
8480948,Egor Yakovlev
8477021,Alexander Kerfoot
8476392,Adam Lowry
8476850,Ryan Murray
